iter	Passed	Remaining
0	57	57635
1	58	29002
2	58	19400
3	58	14616
4	58	11733
5	59	9818
6	59	8452
7	59	7421
8	60	6619
9	60	5985
10	60	5461
11	61	5025
12	61	4654
13	61	4339
14	61	4063
15	62	3822
16	62	3608
17	62	3419
18	62	3250
19	63	3100
20	63	2964
21	63	2840
22	64	2726
23	64	2621
24	64	2528
25	65	2441
26	65	2358
27	65	2280
28	65	2207
29	66	2143
30	66	2079
31	66	2020
32	67	1965
33	67	1912
34	67	1863
35	67	1816
36	68	1774
37	68	1733
38	68	1694
39	69	1659
40	69	1626
41	69	1595
42	70	1565
43	70	1535
44	71	1508
45	71	1482
46	71	1455
47	72	1428
48	72	1403
49	72	1380
50	72	1357
51	73	1335
52	73	1313
53	73	1293
54	74	1275
55	74	1257
56	74	1240
57	75	1221
58	75	1203
59	75	1186
60	76	1171
61	76	1155
62	76	1139
63	76	1125
64	77	1111
65	77	1097
66	77	1083
67	78	1069
68	78	1057
69	78	1044
70	78	1032
71	79	1020
72	79	1009
73	79	999
74	80	988
75	80	978
76	80	967
77	80	956
78	81	946
79	81	936
80	81	927
81	81	917
82	82	906
83	82	897
84	82	888
85	82	880
86	83	872
87	83	865
88	83	858
89	84	851
90	84	844
91	84	837
92	85	830
93	85	823
94	85	817
95	86	811
96	86	805
97	86	799
98	87	793
99	87	787
100	87	781
101	88	775
102	88	769
103	88	763
104	89	758
105	89	752
106	89	747
107	89	742
108	90	736
109	90	731
110	90	726
111	91	722
112	91	716
113	91	711
114	91	706
115	92	702
116	92	696
117	92	692
118	92	687
119	93	682
120	93	678
121	93	673
122	93	668
123	94	664
124	94	660
125	94	656
126	95	653
127	95	649
128	95	646
129	96	642
130	96	638
131	96	635
132	96	631
133	97	627
134	97	624
135	97	620
136	98	617
137	98	613
138	98	610
139	98	607
140	99	604
141	99	601
142	99	597
143	100	594
144	100	591
145	100	588
146	100	585
147	101	582
148	101	579
149	101	576
150	102	573
151	102	570
152	102	568
153	102	565
154	103	562
155	103	560
156	103	557
157	104	555
158	104	552
159	104	549
160	104	546
161	105	543
162	105	541
163	105	538
164	105	536
165	106	534
166	106	531
167	106	529
168	107	526
169	107	524
170	107	522
171	108	520
172	108	518
173	108	516
174	109	515
175	109	513
176	109	511
177	110	508
178	110	506
179	110	504
180	110	502
181	111	500
182	111	497
183	111	495
184	112	493
185	112	491
186	112	490
187	113	488
188	113	486
189	113	484
190	113	482
191	114	480
192	114	479
193	114	477
194	115	476
195	115	474
196	116	472
197	116	471
198	116	469
199	116	467
200	117	466
201	117	464
202	117	462
203	118	460
204	118	459
205	118	457
206	118	455
207	119	454
208	119	452
209	119	451
210	120	449
211	120	448
212	120	446
213	121	445
214	121	443
215	121	441
216	122	440
217	122	438
218	122	437
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	427
226	125	425
227	125	424
228	125	422
229	125	421
230	126	419
231	126	418
232	126	416
233	126	415
234	127	413
235	127	412
236	127	410
237	127	409
238	128	408
239	128	406
240	128	405
241	129	404
242	129	402
243	129	401
244	129	400
245	130	399
246	130	398
247	130	397
248	131	396
249	131	395
250	132	393
251	132	393
252	132	391
253	133	390
254	133	389
255	133	388
256	134	387
257	134	386
258	134	385
259	134	384
260	135	383
261	135	382
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	137	373
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	139	367
275	139	366
276	140	365
277	140	364
278	140	363
279	140	362
280	141	361
281	141	360
282	141	359
283	142	358
284	142	357
285	142	356
286	142	355
287	143	354
288	143	353
289	143	352
290	144	351
291	144	350
292	144	349
293	145	348
294	145	347
295	145	346
296	146	345
297	146	344
298	146	343
299	146	342
300	147	341
301	147	340
302	147	339
303	148	339
304	148	338
305	148	337
306	149	336
307	149	335
308	149	334
309	149	333
310	150	332
311	150	331
312	150	330
313	150	329
314	151	328
315	151	328
316	151	327
317	152	326
318	152	325
319	152	324
320	153	323
321	153	322
322	153	322
323	153	321
324	154	320
325	154	319
326	154	318
327	155	317
328	155	316
329	155	315
330	156	315
331	156	314
332	156	313
333	157	313
334	157	312
335	157	311
336	158	310
337	158	310
338	158	309
339	158	308
340	159	307
341	159	307
342	159	306
343	160	305
344	160	305
345	160	304
346	161	303
347	161	302
348	161	302
349	162	301
350	162	300
351	162	299
352	163	299
353	163	298
354	163	297
355	164	297
356	164	296
357	165	295
358	165	295
359	165	294
360	166	293
361	166	293
362	166	292
363	166	291
364	167	290
365	167	290
366	167	289
367	168	289
368	168	288
369	169	287
370	169	287
371	169	286
372	170	285
373	170	285
374	170	284
375	170	283
376	171	282
377	171	282
378	171	281
379	172	280
380	172	280
381	172	279
382	173	279
383	173	278
384	173	277
385	174	277
386	174	276
387	174	275
388	175	275
389	175	274
390	175	273
391	176	273
392	176	272
393	176	271
394	176	271
395	177	270
396	177	269
397	177	268
398	178	268
399	178	267
400	178	266
401	178	265
402	179	265
403	179	264
404	179	263
405	179	263
406	180	262
407	180	261
408	180	260
409	180	260
410	180	259
411	181	258
412	181	257
413	181	257
414	181	256
415	182	255
416	182	255
417	182	254
418	182	253
419	183	252
420	183	252
421	183	251
422	183	250
423	184	250
424	184	249
425	184	248
426	184	248
427	185	247
428	185	246
429	185	246
430	185	245
431	186	244
432	186	244
433	186	243
434	186	242
435	187	241
436	187	241
437	187	240
438	187	240
439	188	239
440	188	238
441	188	238
442	188	237
443	189	236
444	189	236
445	189	235
446	189	234
447	190	234
448	190	233
449	190	232
450	190	232
451	191	231
452	191	231
453	191	230
454	191	229
455	192	229
456	192	228
457	192	227
458	192	227
459	193	226
460	193	226
461	193	225
462	193	224
463	194	224
464	194	223
465	194	222
466	194	222
467	195	221
468	195	221
469	195	220
470	195	219
471	196	219
472	196	218
473	196	218
474	196	217
475	197	216
476	197	216
477	197	215
478	197	215
479	198	214
480	198	213
481	198	213
482	198	212
483	199	212
484	199	211
485	199	211
486	199	210
487	200	210
488	200	209
489	200	209
490	201	208
491	201	207
492	201	207
493	201	206
494	202	206
495	202	205
496	202	205
497	202	204
498	203	204
499	203	203
500	203	202
501	203	202
502	204	201
503	204	201
504	204	200
505	204	200
506	205	199
507	205	199
508	205	198
509	206	197
510	206	197
511	206	196
512	206	196
513	207	195
514	207	195
515	207	194
516	207	194
517	208	193
518	208	193
519	208	192
520	208	191
521	209	191
522	209	190
523	209	190
524	209	189
525	210	189
526	210	188
527	210	188
528	210	187
529	211	187
530	211	186
531	211	186
532	211	185
533	212	185
534	212	184
535	212	183
536	212	183
537	212	182
538	213	182
539	213	181
540	213	181
541	213	180
542	214	180
543	214	179
544	214	179
545	214	178
546	215	178
547	215	177
548	215	177
549	215	176
550	216	176
551	216	175
552	216	175
553	216	174
554	217	174
555	217	173
556	217	173
